Codigo_id,departamento,municipio,Subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo
00000,NACIONAL,NACIONAL,,0.0,,1606.0,,,,,,,,,,,,,,,6.23412,-75.55964,geonames
11001,"Bogotá, D.C.","Bogotá, D.C.",,,,,,,,,,,,,,,,,,,,,
13001,Bolívar,Cartagena,,914552.0,,20.0,,,,,,,,,,,,,,,10.39817,-75.49328,geonames
13006,Bolívar,Achí,,23051.0,,19.0,,,,,,,,,,,,,,,8.62583,-74.47764,geonames
13030,Bolívar,Altos del Rosario,,11357.0,,17.0,,,,,,,,,,,,,,,8.73888,-74.23005,geonames
13042,Bolívar,Arenal,,15414.0,,1043.0,,,,,,,,,,,,,,,8.34173,-74.10584,geonames
13052,Bolívar,Arjona,,73730.0,,54.0,,,,,,,,,,,,,,,10.17594,-75.35884,geonames
13062,Bolívar,Arroyohondo,,9907.0,,48.0,,,,,,,,,,,,,,,10.23583,-75.04218,geonames
13074,Bolívar,Barranco de Loba,,14435.0,,20.0,,,,,,,,,,,,,,,8.8829,-74.18276,geonames
13140,Bolívar,Calamar,,22202.0,,5.0,,,,,,,,,,,,,,,10.23377,-74.9424,geonames
13160,Bolívar,Cantagallo,,6874.0,,59.0,,,,,,,,,,,,,,,7.37926,-73.9155,geonames
13188,Bolívar,Cicuco,,13120.0,,10.0,,,,,,,,,,,,,,,9.23226,-74.69095,geonames
13212,Bolívar,Córdoba,,15012.0,,26.0,,,,,,,,,,,,,,,9.55149,-74.898,geonames
13222,Bolívar,Clemencia,,13821.0,,67.0,,,,,,,,,,,,,,,10.56645,-75.32499,geonames
13244,Bolívar,El Carmen de Bolívar,,67952.0,,273.0,,,,,,,,,,,,,,,9.7088,-75.15958,geonames
13248,Bolívar,El Guamo,,7826.0,,49.0,,,,,,,,,,,,,,,10.01753,-74.93483,geonames
13268,Bolívar,El Peñón,,7234.0,,21.0,,,,,,,,,,,,,,,8.98885,-73.94898,geonames
13300,Bolívar,Hatillo de Loba,,11770.0,,26.0,,,,,,,,,,,,,,,8.96607,-74.12454,geonames
13430,Bolívar,Magangué,,123982.0,,20.0,,,,,,,,,,,,,,,9.24202,-74.75467,geonames
13433,Bolívar,Mahates,,26075.0,,10.0,,,,,,,,,,,,,,,10.23293,-75.18985,geonames
13440,Bolívar,Margarita,,9720.0,,24.0,,,,,,,,,,,,,,,9.15596,-74.26618,geonames
13442,Bolívar,María La Baja,,23401.0,,15.0,,,,,,,,,,,,,,,9.9832,-75.30155,geonames
13458,Bolívar,Montecristo,,13470.0,,84.0,,,,,,,,,,,,,,,8.2971,-74.4733,geonames
13468,Bolívar,Mompós,,41565.0,,14.0,,,,,,,,,,,,,,,9.1399,-74.54513,geonames
13473,Bolívar,Morales,,29737.0,,1590.0,,,,,,,,,,,,,,,2.78191,-76.76939,geonames
